ID,RVL,ALG,PCAD,ECAD,BIM,LIVR,QAQC
15-363_Palais_des_Congres,24.5,50.0833,0,0,0,0.75,4.25
15-464_Barrage_Brown_Beauport,0,1.5,0,0.5,0,0.1667,0
15-480_Becancours_Archeos,12,18.0833,0,0,0,0.75,0
15-481_CSMB_Gentilly,29.5,17.0833,0,7.8333,0,0.75,0.5
15-487_Maison_Historique_Mere_d'Youville,0,4.5,0,0,0,0,0
15-484_SAQ_De_Lorimier,2.5,1.75,0,0,0,0,0
15-491_Galaxy_Macao_3D,0,0.75,0,0,44.75,0,0
15-485_Barrage_Ile-de-la-Visitation,14.5,11.5,0,0,58.5,0.75,0
15-499_Moment_Factory,0,0,0,0,8.25,0,0
15-507_PAC-export,0,1.5,0,0,0,0,0
15-495_Canam,0,0,0,0,0,0,0
15-503_Mount_Stephen,19.75,13.25,0,0,0,2,0
15-488_888_Sherbrooke_Ouest,3,1.5,0,10.75,0,0.25,0.25
15-492_1251_St-Marc,2,2.5,0,0,0,0,0
16-508_Sandoz,14.5833,8.5,0,0,49.75,0,0
16-518_Chengdu,0,0,0,0,31.8333,0,0
16-516_Porte_Parlement,0,1,0,0,0,0.5,0.25
16-519_Poudlard,6,1.5,0,0,61.75,0,0
16-505_Le_Windsor,11.3333,23.5,0,3,0,0,1.25
16-522_Canam_assemblage,1.5,0.75,0,0,0,0,0
16-511_DRDC-RDDC,0,0,0,0,10.5,0,0
16-531_Assemblage_2_Canam,2.25,1,0,0,0,0,0
16-372_Palais_Congres_INterieur,160,115.0833,0,0,0,0,0
16-372_Palais_Congres_INterieur,0,69.75,0,0,0,0.1667,0
16-536_Entrepots_Laval_4,4.5,5.25,0,33.9167,28.5,3,0
16-404_1000_de_Maisonneuve,18.75,4.75,0,42.1667,0,0,0
16-520_3456_avenue_du_Musee,11.5,13.25,0,57.5,25.8333,0.75,44.6667
16-520_3456_avenue_du_Musee,16,9.75,0,0.6667,0,0,0
16-561_petit_ours,0,0,0,0,0,0,0
16-552_FTQ_790_rue_Rand_Sherbrooke,3.5,1.5,0,0,0,0,0
16-554_Monitoring_hotel_Mt-Stephens,0.75,1.5,0,0,0,0.5,0
16-471_Glace_CH,0,0,0,0,11,0,0
16-546_Hopital_Verdun,4,3.1667,0,9.8333,0,0,0
16-564_Moment_Factory_Shanghai,0,11.0833,0,0,316.75,0,0
16-535_Agropur,2.25,0.75,0,0,0,0.75,0
16-563_eglise_Ste-Famille,10,21.3333,0,2.8333,0,0.5,0.5
16-512_925_Rene-Levesque,2.5,1.4167,0,0,0,0,0
16-577_Ventilation_Viger,3.25,1.4167,0,0,0,0,0
16-566_OMHTR,6.5,2.75,0,0,0,0,0.25
16-553_Oeuf_Toiture,4,3.0833,0,0,0,0,0
16-000_Parlement_Ottawa,0,0,0,0,67.0833,0,0
16-513_Grenoble,0,0,0,33.3333,0,2.5833,0.75
16-602_Patex_Turcot_2016,6.25,1.5,0,0,0,0.75,1.75
16-576_iCM_Deformations,0,18.75,0,2.6667,0,0,4.4167
16-590_ecole_Espace_Jeunesse,7.5,1.5,0,0,0,0.5,3.75
16-400_Musee_Maritime,12,5.1667,0,0,9.0833,14.0833,6.5
16-517_Frelighsburg,17,3.75,0,0,0,0,0
16-617_2_rue_porte,2,0,0,0,0,1,0
16-619_Entrepot_Joliette,9.5,12.0833,0,0,0,0,1.5
16-618_Palais_Qc_CeEt30_78a,0,11.8333,0,0,0,2.6667,11.25
16-621_Sokcon_Dalle,0,1,0,0,7.5,0,0
16-631_CeEt940,0,1.25,0,0,0,0,0
16-601_Fort_St-Jean_Sous-Marin,0,0,0,0,0,0,4
16-644_Turcot_CAD,0,3,3.9167,0,0,4.6667,0
16-640_UdeM_Tunnel,2.5,2,0,0,0,0,1.25
16-647_Validation_Sacre-Coeur,0,0.75,0,0,0,0,7
16-612_NFX_Day6,2.25,0.25,0,0,0,0,3
16-600_La_Baie,19.25,7,0,119.75,0,2,4.5
16-570_Toit_Richelieu,2.25,0.75,0,0.25,0,0.5,0.5
16-649_Pont_ile_Bizard,5,2.25,0,0,58.6667,0.5,4.1667
16-649_Pont_ile_Bizard,13,4.75,0,0,18.1667,0,8.9167
16-649_Pont_ile_Bizard,0,0,0,0,10.5,0,5
16-626_ecole_N-D_Assomption,2.5,1.25,0,9,0,0.5,1.25
16-530_Basilique_Notre-Dame,19.5,10.5,0,0,0,0,0
16-651_CCBN_Plaines,0,0,0,0,0.5,9.0833,0
16-592_AMT_Pont_Milliaire,4.75,7,0,0,0,0,0
16-592_AMT_Pont_Milliaire,2.75,2,0,0,0,0,0
16-654_Golf_Brossard,21,30.25,0,0,0,0,15.3333
16-604_CAE,58.3333,14.25,0,0,0,0,9.8333
16-665_Cuve_Bois_Blanc,1.25,0,0,0,12.8333,0.25,2.5
16-628_Grand_Theatre_de_Quebec-murale,54.5,20.0833,0,0,0,20.4167,2.5
16-628_Grand_Theatre_de_Quebec-murale,9.5,2.5,0,0,0,0.3333,0
16-650_Lyman_Duff_McGill,30,16.75,0,0,0,0.25,1.25
16-220_eglise_St-Maurice,19.0833,16.6667,0,9.25,0,0,21.8333
16-666_Terra_Sativa_Grange,4,11.8333,0,0,0,0,0
16-667_ATFF_Tennis,0,0,0,0,19.3333,0,0
16-653_ICM_SQI,66.5,104.75,0,0,0,0,7.5
16-593_Rodier,19.5833,16.5,0,4,0,0.5,17.25
16-593_Rodier,0,0,0,0,153.1667,0,0
16-Coin_St-Paul_et_Longueuil,2.25,4.9167,0,0,0,0,0
16-663_1423_Towers,2,0.5,0,7.5833,0,0,2.5
16-688_Stationnement_16_PdC,7.75,2.6667,0,0,0,0,0.6667
16-696_ATFF-RFA,0,0,0,0,3.4167,0,0
16-608_McGill_Strathcona,9.6667,14.5,0,0,0,0,0.5
16-455_CISSS_Riviere-Rouge,9.75,4.3333,0,0,0,0,0.5833
Mosquee_Phase_5,0,6.5833,0,0.5,44.9167,24.3333,75.5833
16-700_Seneca,5,3.1667,0,0,0,0,0.8333
16-681_Parc_Forillon,29.25,19.75,0,0,150.6667,0,5.3333
16-596_WWOHP_Orlando,10,25.3333,0,0,129.0833,0,0.5
16-584_St-Regis,13.75,3.1667,0,66.0833,0,0,1
16-707_Fort_no3_Levis,8.75,1,0,23.0833,0,0,0
16-715_ETS_complexe_Dow,4.1667,4.8333,0,0,28.9167,1.0833,0
16-669_8255_St-Laurent_Brossard,2.5,1.5,0,0,0,0,0
16-710_eglise_Cap_St-Ignace,6.25,5.0833,0,4.0833,0,0,0
16-697_Le_GESU,22,14.5,0,62.4167,0,1,14.75
16-509_980-1000_St-Antoine,8.75,15.0833,0,29.0833,0,1,0.6667
16-708_Turcot_Arkeos,4.25,15.75,7.9167,0,44.9167,0,6.4167
16-731_Moment_Tremblant,2.75,1,0,0,0,0,0
16-735_Geniarp_Align,0,2.75,0,0,0,0,0
16-683_Maquette_Niagara,0,2.5833,0,0,3.9167,0,0
16-699_Fouilles_Ursuline_2016,1.25,0,0,0,0,0,0
16-730_ADM_Lemay,12.75,19.75,0,0,0,0,0
16-746_Fonderie,3.25,3.75,0,0,0,0.5,0
16-679_Hershey_Granby,2,0.5,0,0,0,0,0
17-738_Arbre_Hangzhou,10,6.75,0,0,0.5,0,0
17-726_Japon_WWOHP,14,12.9167,0,0,170,1.25,0
16-670_Palais_Congres_Mtl_Animation,0,0,0,0,0,0,0
17-748_10500_Acadie,3.5,2.25,0,10.4167,0,0,0
17-749-_ATFF_noix,0,0,0,0,33.5,0,1.25
17-763_1088_rue_Clark,17.1667,4.75,0,0,0,0,0
17-754_Ogilvy,76,139.75,3.4167,350.4167,0,0.1667,225.6667
17-765_BMO,25,14.5833,0,0,0,0,3
17-757_Raglan,20,14.5,0,0,0,0,2
17-774_Clos_St-Andre_925_Rene_Levesque,0,0,0,11.4167,0,0,0
17-674_Miralupa_Necropolis,17.0833,5.5,0,0,0,0.4167,0.25
17-794_4005_Redpath,1.75,1.5,0,0,12.75,0,1.8333
17-793_ATFF-lafarge,0,0,0,0,15.75,0,0
17-802_UQAM_Pavillon_Judith-Jasmin,6.75,3,0,61.6667,0,0,0
17-669_8255_St-Laurent_CAD,0,0,0,84.8333,0,0,0.5
17-809_ATFF_Route_des_Fabriques,0,0,0,0,44,0.3333,2.3333
17-796_1740_emile-Journaux,2.25,2.25,0,0,0,0.75,1
17-790_Clocher_Olier,5.5,1.75,4.5833,16.9167,0,0.5,9.0833
17-739_CHSLD_GeorgeP_et_Ste-Croix,5.25,3,0,0,0,0.75,2
17-739_CHSLD_GeorgeP_et_Ste-Croix,6.5,4.75,0,0,0,0.5,3.5
17-814_22_Pont_Viau,51.1333,27.8333,1.25,1.1667,0,0,2.5
17-675_Marseille_ATFF,0,0,0,0,85,0,12.25
17-675_Marseille_ATFF,0,0,0,0,75.4167,0,12.5833
17-675_Marseille_ATFF,0,0,0,0,65,0,4.3333
17-823_Olymel_Structure_XL,4.75,2.5,0,0,0,0.5,0
17-816_U_McGill-McDonald_et_Workman,3,0.5,0,48.3333,0,0,11.9167
17-820_Maison_St-edouard,0,0,0,3,0,0.25,0
17-820_Maison_St-edouard,1.25,0.5,0,33,0,0,4.75
